ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
10/7/1907,MicroEnergy Credits – Microfinance for Clean Energy Product Lines – Africa – Solar Lamps & Efficient cook stoves – 10341 –CPA - 0003,MicroEnergy Credits Corp,Renewable Energy,,AMS-II.G.; AMS-III.AR,Verification approval requested,Kenya,90914.00,Africa,2/27/2023,11/11/2019,11/10/2026
3/7/1907,Komaza Smallholder Farmer Forestry Kenya,Komaza Group Inc.,AFOLU,ARR,AR-AMS0007,Registered,Kenya,286630.00,Africa,11/8/2023,5/1/2017,4/30/2037
6/20/1906,CONSERVATION OF MIOMBOS IN TARU  KENYA REDD+,Swiss carbon Value Ltd.,AFOLU,REDD,VM0009,Withdrawn,Kenya,16225.00,Africa,,7/1/2016,6/30/2046
6/6/1906,Installation of high efficiency wood burning cookstoves in Kenya,C-Quest Capital SGS Stoves Private Limited,Cookstove Projects,,VMR0006,On Hold - see notification letter,Kenya,1500000.00,Africa,5/13/2022,10/6/2020,10/5/2030
5/26/1906,"TIST Program in Kenya, VCS-CCB 010",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0007,Registered,Kenya,93619.00,Africa,9/23/2021,2/1/2015,1/31/2075
5/30/1902,OLKARIA III PHASE 2 GEOTHERMAL EXPANSION PROJECT IN KENYA,JPMorgan Ventures Energy Corportaion,Renewable Energy,,ACM0002,Late to verify,Kenya,244798.00,Africa,8/16/2012,,
4/27/1905,Livelihoods Mount Elgon Project,Livelihoods Fund SICAV SIF,AFOLU,ALM,VM0017,Registered,Kenya,53142.00,Africa,4/19/2024,3/2/2016,3/1/2036
4/1/1905,Paradigm Kenya Clean Cookstoves Project,"Blue Source, LLC",Cookstove Projects,,AMS-II.G.,Registered,Kenya,49416.00,Africa,8/23/2019,4/26/2017,4/25/2027
5/9/1903,Kenya Agricultural Carbon Project,Vi Agroforestry Programme,AFOLU,ALM,VM0017,Registered,Kenya,99004.00,Africa,4/6/2020,7/1/2009,6/30/2029
7/19/1904,Improved Jikos Project in Kenya,ClimateCare Limited,Cookstove Projects,,AMS-II.G.,Under validation,Kenya,40064.00,Africa,,,
6/17/1902,"TIST Program in Kenya, VCS 006",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,233275.00,Africa,10/1/2012,1/1/2004,12/31/2033
1/6/1902,"TIST Program in Kenya, VCS 005",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,86694.00,Africa,6/4/2020,1/1/2004,12/31/2033
7/15/1901,The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,Wildlife Works Carbon LLC,AFOLU,REDD,VM0009,Registered,Kenya,251432.00,Africa,6/4/2020,1/1/2005,12/31/2034
9/8/1903,KSAIL Bagasse Power Project,Viability Incentives,Renewable Energy,,ACM0006,Registered,Kenya,45118.00,Africa,10/20/2016,1/1/2015,12/31/2024
11/8/1903,Chyulu Hills REDD+ Project,Chyulu Hills Conservation Trust,AFOLU,REDD,VM0009,Registered,Kenya,1100943.00,Africa,4/6/2020,9/19/2013,9/18/2043
8/16/1901,"TIST Program in Kenya, VCS 001",Clean Air Action Corporation,AFOLU,ARR,AR-ACM0001,Registered,Kenya,14701.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/17/1901,"TIST Program in Kenya, VCS 002",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Registered,Kenya,13663.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/18/1901,"TIST Program in Kenya, VCS 003",Clean Air Action Corporation,AFOLU,ARR,AR-ACM0001,Registered,Kenya,14482.00,Africa,4/12/2011,1/1/2004,12/31/2033
8/19/1901,"TIST Program in Kenya, VCS 004",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Registered,Kenya,13790.00,Africa,4/12/2011,1/1/2004,12/31/2033
9/22/1902,"TIST Program in Kenya, VCS 009",Clean Air Action Corporation,AFOLU,ARR,AR-AMS0001,Verification approval requested,Kenya,88163.00,Africa,3/13/2013,1/1/2004,12/31/2033
9/3/1901,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Wildlife Works Carbon LLC,AFOLU,REDD,VM0009,Registered,Kenya,1461479.00,Africa,6/4/2020,1/1/2010,12/31/2039
1/7/1904,Northern Kenya Grassland Carbon Project,Northern Rangelands Trust,AFOLU,ALM,VM0032,Registered,Kenya,1797493.00,Africa,5/5/2020,1/1/2013,12/31/2042
7/29/1902,Efficient Cook Stove Programme: Kenya CPA No. 1,co2balance Ltd,Energy distribution,,AMS-II.G.,Late to verify,Kenya,46214.00,Africa,12/19/2012,1/31/2018,1/30/2025
12/17/1902,Efficient Cook Stove Programme: Kenya CPA No. 2 Mathira East District co2balance UK Ltd,co2balance UK,Cookstove Projects,,AMS-II.G.,Registered,Kenya,27497.00,Africa,4/6/2020,3/3/2011,3/2/2039
